Country,Population 2020,Yearly Change,Net Change,Density,Land Area,Migrant
China,"1,439,323,776",0.39 %,"5,540,090",153,"9,388,211","-348,399"
India,"1,380,004,385",0.99 %,"13,586,631",464,"2,973,190","-532,687"
United States,"331,002,651",0.59 %,"1,937,734",36,"9,147,420","954,806"
Indonesia,"273,523,615",1.07 %,"2,898,047",151,"1,811,570","-98,955"
Pakistan,"220,892,340",2.00 %,"4,327,022",287,"770,880","-233,379"
Brazil,"212,559,417",0.72 %,"1,509,890",25,"8,358,140","21,200"
Nigeria,"206,139,589",2.58 %,"5,175,990",226,"910,770","-60,000"
Bangladesh,"164,689,383",1.01 %,"1,643,222","1,265","130,170","-369,501"
Russia,"145,934,462",0.04 %,"62,206",9,"16,376,870","182,456"
Mexico,"128,932,753",1.06 %,"1,357,224",66,"1,943,950","-60,000"
Japan,"126,476,461",-0.30 %,"-383,840",347,"364,555","71,560"
Ethiopia,"114,963,588",2.57 %,"2,884,858",115,"1,000,000","30,000"
Philippines,"109,581,078",1.35 %,"1,464,463",368,"298,170","-67,152"
Egypt,"102,334,404",1.94 %,"1,946,331",103,"995,450","-38,033"
Vietnam,"97,338,579",0.91 %,"876,473",314,"310,070","-80,000"
DR Congo,"89,561,403",3.19 %,"2,770,836",40,"2,267,050","23,861"
Turkey,"84,339,067",1.09 %,"909,452",110,"769,630","283,922"
Iran,"83,992,949",1.30 %,"1,079,043",52,"1,628,550","-55,000"
Germany,"83,783,942",0.32 %,"266,897",240,"348,560","543,822"
Thailand,"69,799,978",0.25 %,"174,396",137,"510,890","19,444"
United Kingdom,"67,886,011",0.53 %,"355,839",281,"241,930","260,650"
France,"65,273,511",0.22 %,"143,783",119,"547,557","36,527"
Italy,"60,461,826",-0.15 %,"-88,249",206,"294,140","148,943"
Tanzania,"59,734,218",2.98 %,"1,728,755",67,"885,800","-40,076"
South Africa,"59,308,690",1.28 %,"750,420",49,"1,213,090","145,405"
Myanmar,"54,409,800",0.67 %,"364,380",83,"653,290","-163,313"
Kenya,"53,771,296",2.28 %,"1,197,323",94,"569,140","-10,000"
South Korea,"51,269,185",0.09 %,"43,877",527,"97,230","11,731"
Colombia,"50,882,891",1.08 %,"543,448",46,"1,109,500","204,796"
Spain,"46,754,778",0.04 %,"18,002",94,"498,800","40,000"
Uganda,"45,741,007",3.32 %,"1,471,413",229,"199,810","168,694"
Argentina,"45,195,774",0.93 %,"415,097",17,"2,736,690","4,800"
Algeria,"43,851,044",1.85 %,"797,990",18,"2,381,740","-10,000"
Sudan,"43,849,260",2.42 %,"1,036,022",25,"1,765,048","-50,000"
Ukraine,"43,733,762",-0.59 %,"-259,876",75,"579,320","10,000"
Iraq,"40,222,493",2.32 %,"912,710",93,"434,320","7,834"
Afghanistan,"38,928,346",2.33 %,"886,592",60,"652,860","-62,920"
Poland,"37,846,611",-0.11 %,"-41,157",124,"306,230","-29,395"
Canada,"37,742,154",0.89 %,"331,107",4,"9,093,510","242,032"
Morocco,"36,910,560",1.20 %,"438,791",83,"446,300","-51,419"
Saudi Arabia,"34,813,871",1.59 %,"545,343",16,"2,149,690","134,979"
Uzbekistan,"33,469,203",1.48 %,"487,487",79,"425,400","-8,863"
Peru,"32,971,854",1.42 %,"461,401",26,"1,280,000","99,069"
Angola,"32,866,272",3.27 %,"1,040,977",26,"1,246,700","6,413"
Malaysia,"32,365,999",1.30 %,"416,222",99,"328,550","50,000"
Mozambique,"31,255,435",2.93 %,"889,399",40,"786,380","-5,000"
Ghana,"31,072,940",2.15 %,"655,084",137,"227,540","-10,000"
Yemen,"29,825,964",2.28 %,"664,042",56,"527,970","-30,000"
Nepal,"29,136,808",1.85 %,"528,098",203,"143,350","41,710"
Venezuela,"28,435,940",-0.28 %,"-79,889",32,"882,050","-653,249"
Madagascar,"27,691,018",2.68 %,"721,711",48,"581,795","-1,500"
Cameroon,"26,545,863",2.59 %,"669,483",56,"472,710","-4,800"
Côte d'Ivoire,"26,378,274",2.57 %,"661,730",83,"318,000","-8,000"
North Korea,"25,778,816",0.44 %,"112,655",214,"120,410","-5,403"
Australia,"25,499,884",1.18 %,"296,686",3,"7,682,300","158,246"
Niger,"24,206,644",3.84 %,"895,929",19,"1,266,700","4,000"
Taiwan,"23,816,775",0.18 %,"42,899",673,"35,410","30,001"
Sri Lanka,"21,413,249",0.42 %,"89,516",341,"62,710","-97,986"
Burkina Faso,"20,903,273",2.86 %,"581,895",76,"273,600","-25,000"
Mali,"20,250,833",3.02 %,"592,802",17,"1,220,190","-40,000"
Romania,"19,237,691",-0.66 %,"-126,866",84,"230,170","-73,999"
Malawi,"19,129,952",2.69 %,"501,205",203,"94,280","-16,053"
Chile,"19,116,201",0.87 %,"164,163",26,"743,532","111,708"
Kazakhstan,"18,776,707",1.21 %,"225,280",7,"2,699,700","-18,000"
Zambia,"18,383,955",2.93 %,"522,925",25,"743,390","-8,000"
Guatemala,"17,915,568",1.90 %,"334,096",167,"107,160","-9,215"
Ecuador,"17,643,054",1.55 %,"269,392",71,"248,360","36,400"
Syria,"17,500,658",2.52 %,"430,523",95,"183,630","-427,391"
Netherlands,"17,134,872",0.22 %,"37,742",508,"33,720","16,000"
Senegal,"16,743,927",2.75 %,"447,563",87,"192,530","-20,000"
Cambodia,"16,718,965",1.41 %,"232,423",95,"176,520","-30,000"
Chad,"16,425,864",3.00 %,"478,988",13,"1,259,200","2,000"
Somalia,"15,893,222",2.92 %,"450,317",25,"627,340","-40,000"
Zimbabwe,"14,862,924",1.48 %,"217,456",38,"386,850","-116,858"
Guinea,"13,132,795",2.83 %,"361,549",53,"245,720","-4,000"
Rwanda,"12,952,218",2.58 %,"325,268",525,"24,670","-9,000"
Benin,"12,123,200",2.73 %,"322,049",108,"112,760","-2,000"
Burundi,"11,890,784",3.12 %,"360,204",463,"25,680","2,001"
Tunisia,"11,818,619",1.06 %,"123,900",76,"155,360","-4,000"
Bolivia,"11,673,021",1.39 %,"159,921",11,"1,083,300","-9,504"
Belgium,"11,589,623",0.44 %,"50,295",383,"30,280","48,000"
Haiti,"11,402,528",1.24 %,"139,451",414,"27,560","-35,000"
Cuba,"11,326,616",-0.06 %,"-6,867",106,"106,440","-14,400"
South Sudan,"11,193,725",1.19 %,"131,612",18,"610,952","-174,200"
Dominican Republic,"10,847,910",1.01 %,"108,952",225,"48,320","-30,000"
Czech Republic (Czechia),"10,708,981",0.18 %,"19,772",139,"77,240","22,011"
Greece,"10,423,054",-0.48 %,"-50,401",81,"128,900","-16,000"
Jordan,"10,203,134",1.00 %,"101,440",115,"88,780","10,220"
Portugal,"10,196,709",-0.29 %,"-29,478",111,"91,590","-6,000"
Azerbaijan,"10,139,177",0.91 %,"91,459",123,"82,658","1,200"
Sweden,"10,099,265",0.63 %,"62,886",25,"410,340","40,000"
Honduras,"9,904,607",1.63 %,"158,490",89,"111,890","-6,800"
United Arab Emirates,"9,890,402",1.23 %,"119,873",118,"83,600","40,000"
Hungary,"9,660,351",-0.25 %,"-24,328",107,"90,530","6,000"
Tajikistan,"9,537,645",2.32 %,"216,627",68,"139,960","-20,000"
Belarus,"9,449,323",-0.03 %,"-3,088",47,"202,910","8,730"
Austria,"9,006,398",0.57 %,"51,296",109,"82,409","65,000"
